number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dim,params_dropout,params_event_dim,params_ffn_ratio,params_head_dropout,params_large_size,params_learning_rate,params_num_blocks,params_patch_size,params_patch_stride,params_revin,params_seq_len,params_small_size,state
56,0.08555889874696732,2026-07-06 19:41:14.413509,2026-07-06 19:41:41.642398,0 days 00:00:27.228889,128,32,0.12197218283399258,4,3,0.2609936774535494,13,0.0021371497667768695,3,32,2,1,35,5,COMPLETE
57,0.0947926715016365,2026-07-06 19:41:41.659787,2026-07-06 19:41:53.409419,0 days 00:00:11.749632,128,32,0.1009315557627701,8,3,0.37905666937447147,31,0.0011513146371086762,3,8,2,1,35,5,PRUNED
58,0.09849710762500763,2026-07-06 19:41:53.429822,2026-07-06 19:41:59.516858,0 days 00:00:06.087036,256,32,0.04718146683886905,4,4,0.24515505948077304,13,0.003168748150754432,2,32,2,1,22,5,PRUNED
59,0.18433509767055511,2026-07-06 19:41:59.533466,2026-07-06 19:42:13.280823,0 days 00:00:13.747357,64,64,0.07381037153927003,16,3,0.2115509502349028,51,0.0017569093744432588,3,32,2,0,35,5,PRUNED
60,0.09242347627878189,2026-07-06 19:42:13.300871,2026-07-06 19:42:24.032448,0 days 00:00:10.731577,128,32,0.14281027259903617,4,3,0.45269248831415765,27,0.009746877027501197,3,32,4,1,35,7,PRUNED
61,0.10079604387283325,2026-07-06 19:42:24.048553,2026-07-06 19:42:37.767137,0 days 00:00:13.718584,128,128,0.10059670020580179,4,2,0.2760792900526283,13,0.004616070373763888,3,32,2,1,35,5,PRUNED
62,0.08591862767934799,2026-07-06 19:42:37.787364,2026-07-06 19:43:04.640966,0 days 00:00:26.853602,128,32,0.11848138215079464,4,3,0.298829879579551,13,0.0022047687926058713,3,32,2,1,35,5,COMPLETE
63,0.08571323752403259,2026-07-06 19:43:04.658168,2026-07-06 19:43:31.403906,0 days 00:00:26.745738,128,32,0.0186403363874615,4,3,0.26106136380022954,13,0.003332338929920474,3,32,2,1,35,5,COMPLETE
64,0.08540203422307968,2026-07-06 19:43:31.420531,2026-07-06 19:43:58.373420,0 days 00:00:26.952889,128,32,0.11733956482601554,4,3,0.3406047098661172,13,0.002523921278872023,3,32,2,1,35,5,COMPLETE
65,0.08492199331521988,2026-07-06 19:43:58.389946,2026-07-06 19:44:25.942631,0 days 00:00:27.552685,128,32,0.08933760031176188,4,3,0.3384969520081383,13,0.0026542168906624995,3,32,2,1,35,5,COMPLETE
66,0.08986728638410568,2026-07-06 19:44:25.959280,2026-07-06 19:44:36.772550,0 days 00:00:10.813270,128,32,0.046128863885741694,8,3,0.3448392014846867,13,0.006935946547102899,3,32,2,1,22,5,PRUNED
67,0.09588292241096497,2026-07-06 19:44:36.795651,2026-07-06 19:44:45.256603,0 days 00:00:08.460952,128,32,0.08787385093460252,4,3,0.39154789977205595,13,0.0013751927999485231,3,32,8,1,35,3,PRUNED
68,,2026-07-06 19:44:45.284614,2026-07-06 19:44:50.363316,0 days 00:00:05.078702,512,32,0.057943338025556596,4,3,0.41576384949036344,13,0.004886373868579817,3,8,2,1,35,5,PRUNED
69,0.10854274034500122,2026-07-06 19:44:50.384514,2026-07-06 19:45:03.737153,0 days 00:00:13.352639,128,32,0.1045227375674368,4,4,0.3461762335895888,13,0.00021897055984178933,3,4,2,1,70,5,PRUNED
70,0.10575994849205017,2026-07-06 19:45:03.758016,2026-07-06 19:45:10.785743,0 days 00:00:07.027727,256,32,0.014328734125293124,4,3,0.37459312866323036,51,0.004022900892350697,3,32,2,1,35,5,PRUNED
71,0.22207792103290558,2026-07-06 19:45:10.806522,2026-07-06 19:45:25.718563,0 days 00:00:14.912041,128,256,0.17505139682933743,16,3,0.3297786039011654,13,0.002653038951279558,1,32,2,0,35,5,PRUNED
72,0.08577079325914383,2026-07-06 19:45:25.746337,2026-07-06 19:45:52.988392,0 days 00:00:27.242055,128,32,0.14933467650824253,4,3,0.2982351993825668,13,0.002751702171959335,3,32,2,1,35,5,COMPLETE
73,0.09477291256189346,2026-07-06 19:45:53.005834,2026-07-06 19:46:03.216289,0 days 00:00:10.210455,128,32,0.07128873604492242,4,3,0.30803060655488435,13,0.0015078374215555517,3,32,2,1,35,5,PRUNED
74,0.08498728275299072,2026-07-06 19:46:03.236608,2026-07-06 19:46:30.056096,0 days 00:00:26.819488,128,32,0.13205717416432877,4,3,0.29066822979130064,13,0.003695025832878588,3,32,2,1,35,5,COMPLETE
75,0.08731988072395325,2026-07-06 19:46:30.078437,2026-07-06 19:46:41.776103,0 days 00:00:11.697666,128,32,0.09039732260832069,4,3,0.28567620367878815,13,0.006056097892340193,3,32,2,1,35,5,PRUNED
76,0.1110190749168396,2026-07-06 19:46:41.803977,2026-07-06 19:46:53.212413,0 days 00:00:11.408436,128,32,0.15269103071114176,4,3,0.005420151559238778,27,0.00361699434984315,3,16,8,1,180,3,PRUNED
77,0.09021002799272537,2026-07-06 19:46:53.235650,2026-07-06 19:47:04.788678,0 days 00:00:11.553028,128,32,0.11702592461482064,4,3,0.34215708971311626,31,0.00453455762956629,3,32,2,1,35,5,PRUNED
78,0.10247953236103058,2026-07-06 19:47:04.808384,2026-07-06 19:47:21.107547,0 days 00:00:16.299163,64,128,0.19049671838410567,8,3,0.27436705057967514,13,0.0019900980350164472,3,32,2,1,35,5,PRUNED
79,0.10114016383886337,2026-07-06 19:47:21.122959,2026-07-06 19:47:31.790015,0 days 00:00:10.667056,128,64,0.05561346492942887,4,3,0.24847746443497695,13,0.0011183804606480726,3,32,2,1,35,7,PRUNED
80,0.09465420246124268,2026-07-06 19:47:31.805868,2026-07-06 19:47:42.244230,0 days 00:00:10.438362,128,32,0.3899703857969501,4,3,0.3198883977356515,13,0.0034721896441935124,3,32,4,1,22,5,PRUNED
81,,2026-07-06 19:47:42.258930,2026-07-06 19:47:46.838401,0 days 00:00:04.579471,512,32,0.13822173747839034,4,3,0.38931227242652866,13,0.006160366099723622,3,32,2,1,35,5,PRUNED
