pair,horizon,regressor,coef_std,fold_stability,merged_with
USDCHF,1,evt_USD_Feds_Beige_Book,0.0002577890381946346,0.5,
USDCHF,5,evt_CHF_Gross_Domestic_Product_YoY,0.0045503365613335164,1.0,evt_CHF_Gross_Domestic_Product_QoQ
USDCHF,5,evt_USD_EIA_Crude_Oil_Stocks_Change,0.008178127608442625,1.0,
USDCHF,5,evt_USD_Fed_Interest_Rate_Decision,0.03244862865171191,1.0,
USDCHF,5,evt_USD_Feds_Beige_Book,0.011178551770664005,1.0,
USDCHF,5,evt_USD_ISM_Manufacturing_Prices_Paid,0.017625549215911484,1.0,evt_USD_ISM_Manufacturing_PMI
USDCHF,5,evt_USD_Michigan_Consumer_Sentiment_Index,-0.00796865485544483,1.0,
USDCHF,5,evt_CHF_Real_Retail_Sales_YoY,0.012641768739382846,0.9,
USDCHF,5,evt_CHF_SNB_Interest_Rate_Decision,0.017740831395422957,0.9,
USDCHF,5,evt_USD_Interest_Rate_Projections_Longer,0.004091469951326402,0.9,evt_USD_Interest_Rate_Projections_1st_year; evt_USD_Interest_Rate_Projections_2nd_year; evt_USD_Interest_Rate_Projections_Current
USDCHF,5,evt_CHF_SNBs_Chairman_Jordan_speech,0.004080679469303401,0.8,
USDCHF,5,evt_USD_Fed_Monetary_Policy_Statement,0.005040990194876683,0.8,
USDCHF,5,evt_USD_Unemployment_Rate,0.0021519636599155382,0.8,evt_USD_Average_Hourly_Earnings_MoM; evt_USD_Average_Hourly_Earnings_YoY; evt_USD_Average_Weekly_Hours; evt_USD_Labor_Force_Participation_Rate; evt_USD_Nonfarm_Payrolls
USDCHF,5,evt_USD_ADP_Employment_Change,0.0009819875230182,0.7,
USDCHF,5,evt_USD_FOMC_Press_Conference,0.0038948717369863264,0.7,
USDCHF,22,evt_USD_Fed_Interest_Rate_Decision,0.007045195395988108,0.9,
USDCHF,22,evt_CHF_SNB_Interest_Rate_Decision,0.0029669035836920824,0.8,
USDJPY,1,evt_JPY_BoJ_Monetary_Policy_Statement,0.08762167805854995,1.0,evt_JPY_BoJ_Interest_Rate_Decision
USDJPY,1,evt_JPY_BoJ_Monthly_Economic_Survey,-0.012797724670452097,1.0,
USDJPY,1,evt_JPY_Gross_Domestic_Product_QoQ,-0.00932623102919807,1.0,evt_JPY_Gross_Domestic_Product_Annualized; evt_JPY_Gross_Domestic_Product_Deflator_YoY
USDJPY,1,evt_JPY_Industrial_Production_YoY,0.010514416567943753,1.0,
USDJPY,1,evt_JPY_Tankan_Large_Manufacturing_Index,0.004670765762387009,1.0,evt_JPY_Tankan_Large_Manufacturing_Outlook
USDJPY,1,evt_JPY_Unemployment_Rate,-0.027859644626444986,1.0,
USDJPY,1,evt_USD_10_Year_Note_Auction,0.024557548916630374,1.0,
USDJPY,1,evt_USD_ADP_Employment_Change,0.020149373915895438,1.0,
USDJPY,1,evt_USD_Consumer_Confidence,0.008489125105240001,1.0,
USDJPY,1,evt_USD_Consumer_Price_Index_ex_Food_Energy_YoY,0.043278384148879225,1.0,evt_USD_Consumer_Price_Index_MoM; evt_USD_Consumer_Price_Index_YoY; evt_USD_Consumer_Price_Index_ex_Food_Energy_MoM
USDJPY,1,evt_USD_FOMC_Economic_Projections,0.04591135071176393,1.0,
USDJPY,1,evt_USD_FOMC_Minutes,0.026797061051613256,1.0,
USDJPY,1,evt_USD_Fed_Interest_Rate_Decision,0.038218987637252205,1.0,
USDJPY,1,evt_USD_Former_Feds_Chair_Bernanke_speech,0.006576909695826952,1.0,
USDJPY,1,evt_USD_Goods_Trade_Balance,0.02061555751506826,1.0,
