date,lnRV
2023-04-19,-2.001597119092838
2023-04-20,-2.593192303518055
2023-04-21,-2.50252138758699
2023-04-24,-2.402123328178136
2023-04-25,-2.3871669112852913
2023-04-26,-2.25904356471162
2023-04-27,-2.4927699046401774
2023-04-28,-1.9320580866931645
2023-05-01,-2.667972250602166
2023-05-02,-2.3806100338156186
2023-05-03,-2.1897089369891014
2023-05-04,-1.5789051293223049
2023-05-05,-2.398721328754563
2023-05-08,-2.9622824542894484
2023-05-09,-2.4235869321645227
2023-05-10,-2.434312707564887
2023-05-11,-1.7024950000217127
2023-05-12,-2.3466780900780457
2023-05-15,-2.674492911895917
2023-05-16,-2.1393847797103187
2023-05-17,-2.613693617788792
2023-05-18,-2.4119585280284657
2023-05-19,-2.713887132340252
2023-05-22,-2.6475359697752396
2023-05-23,-2.3999945175905406
2023-05-24,-1.7867934612484986
2023-05-25,-2.3813387867798808
2023-05-26,-2.340096283240918
2023-05-29,-3.102091131408145
2023-05-30,-2.112162327891264
2023-05-31,-2.0683432918759705
2023-06-01,-2.3712551494316694
2023-06-02,-2.5076219046452892
2023-06-05,-2.293165887174407
2023-06-06,-2.6319323886321633
2023-06-07,-2.5763871495987987
2023-06-08,-2.5885001681474424
2023-06-09,-2.7672823538040703
2023-06-12,-2.692866063728083
2023-06-13,-1.9748994284794619
2023-06-14,-2.5325624873208903
2023-06-15,-1.7702228422763016
2023-06-16,-2.2576064137356604
2023-06-19,-2.624989185253373
2023-06-20,-2.299196474315343
2023-06-21,-1.618706409004003
2023-06-22,-1.3477358517466218
2023-06-23,-1.7233586437058543
2023-06-26,-2.2028582396860656
2023-06-27,-2.3054893738889994
2023-06-28,-1.9272375901936527
2023-06-29,-2.3592480483305214
2023-06-30,-2.137275577525806
2023-07-03,-2.352389281724085
2023-07-04,-2.8358183257215215
2023-07-05,-2.4023812199287784
2023-07-06,-1.8935447142974517
2023-07-07,-2.2912254451727576
2023-07-10,-2.3612664493290954
2023-07-11,-2.099250162510276
2023-07-12,-2.2480236839142713
