date,lnRV
2014-12-31,-2.1856288700414916
2015-01-02,-1.6332190209122315
2015-01-05,-1.1356365178253303
2015-01-06,-1.4245951384059345
2015-01-07,-1.3909477945719195
2015-01-08,-1.5992145722450524
2015-01-09,-1.3361298145059128
2015-01-12,-1.5602733969485936
2015-01-13,-1.498174233331579
2015-01-14,-0.9755086296046154
2015-01-15,-0.3794764536149478
2015-01-16,-1.0690771633902578
2015-01-19,-1.5738230886978792
2015-01-20,-1.623409071361851
2015-01-21,-0.6171703239117006
2015-01-22,-0.9319246514101003
2015-01-23,-0.9669679941219446
2015-01-26,-1.1133875552195427
2015-01-27,-1.0946381280684403
2015-01-28,-1.4097287552825646
2015-01-29,-1.3324996173356025
2015-01-30,-1.3515258112507682
2015-02-02,-0.8745689605800557
2015-02-03,-1.0766909003482206
2015-02-04,-0.9490886802232928
2015-02-05,-1.3077533554681802
2015-02-06,-0.8499443683954581
2015-02-09,-1.8827588750782331
2015-02-10,-1.582699997063342
2015-02-11,-1.7886586176289194
2015-02-12,-0.9198542671190441
2015-02-13,-1.855867130423792
2015-02-16,-1.8335314067850697
2015-02-17,-1.6298553032640046
2015-02-18,-1.0622500665015167
2015-02-19,-2.076600625710218
2015-02-20,-1.4462591223459784
2015-02-23,-1.8961260883884228
2015-02-24,-1.4870287366815202
2015-02-25,-2.0016486526744153
2015-02-26,-2.0055209738231534
2015-02-27,-1.7717413658014032
2015-03-02,-2.1041836555457856
2015-03-03,-2.122347123011194
2015-03-04,-1.9668528360404007
2015-03-05,-1.798959758802284
2015-03-06,-0.931888396652176
2015-03-09,-1.834137429542882
2015-03-10,-1.3826790024600013
2015-03-11,-0.8770202524913353
2015-03-12,-0.6838297467030461
2015-03-13,-0.8563404181381641
2015-03-16,-1.663677362531025
2015-03-17,-1.4379230032486574
2015-03-18,1.37704220984033
2015-03-19,-0.18082255501141134
2015-03-20,-0.6120677427494927
2015-03-23,-0.6477663052329102
2015-03-24,-0.42550086049398483
2015-03-25,-1.0068720788661931
2015-03-26,-0.7624253705333632
2015-03-27,-0.9038446433806028
2015-03-30,-0.9870143193413005
2015-03-31,-1.1664658402954007
2015-04-01,-0.9218429202145949
2015-04-02,-0.9602742566122081
2015-04-03,-0.6397285015076568
2015-04-06,-1.4351564162949217
2015-04-07,-0.9760847462466331
2015-04-08,-0.9170182142343191
2015-04-09,-0.9437826759742725
2015-04-10,-1.0244507967996472
2015-04-13,-1.0858443079541966
2015-04-14,-0.2677456825618539
2015-04-15,-0.7894686528628098
2015-04-16,-0.8237587094990384
2015-04-17,-1.0599912720561446
2015-04-20,-1.1176716336757184
2015-04-21,-1.389363190488949
2015-04-22,-0.9909878306687625
2015-04-23,-1.208081640016527
2015-04-24,-1.1071097069968436
2015-04-27,-1.2460210864965713
2015-04-28,-1.0394351902981864
2015-04-29,-0.7051878191622417
2015-04-30,-0.5418607038462705
2015-05-01,-0.5787451827010932
2015-05-04,-1.3847237428067873
2015-05-05,-1.0117249621858417
2015-05-06,-0.8130698308368622
2015-05-07,-0.8031644341550102
2015-05-08,0.05558947080511381
2015-05-11,-0.9455340718254733
2015-05-12,-1.0848973969348015
2015-05-13,-0.5650186081759203
2015-05-14,-1.3440793690418589
2015-05-15,-1.519961137609738
2015-05-18,-1.3024305103402603
2015-05-19,-0.8739054262434237
2015-05-20,-0.6553778377478066
2015-05-21,-1.1077236064403857
2015-05-22,-0.8757899387787285
2015-05-25,-2.112118159026502
2015-05-26,-1.2622920618419153
2015-05-27,-1.292851726556293
2015-05-28,-1.2147706998008447
2015-05-29,-1.252084163007736
2015-06-01,-1.0218053335677457
2015-06-02,-1.023517175467798
2015-06-03,-0.7133120209442358
2015-06-04,-1.3110899262944569
2015-06-05,-0.7253964061482202
2015-06-08,-1.3632343288556663
2015-06-09,-1.081387160232727
2015-06-10,-0.8424612934240217
2015-06-11,-1.122637514124526
2015-06-12,-1.1226254992150626
2015-06-15,-1.507563404317075
2015-06-16,-1.4208937543281903
2015-06-17,-0.97864056907645
2015-06-18,-1.4788122659967948
2015-06-19,-1.9510468064700648
2015-06-22,-1.5785989083257805
2015-06-23,-1.5073364827407403
2015-06-24,-1.668091943072928
2015-06-25,-1.661717147573911
2015-06-26,-1.7044933821193091
2015-06-29,-0.7203563737226635
2015-06-30,-1.3214012201584817
2015-07-01,-1.5762219108514928
2015-07-02,-0.9111429418539336
2015-07-03,-1.9702638461968833
2015-07-06,-1.498706134121813
2015-07-07,-1.3109496370586549
2015-07-08,-1.5051307511514347
2015-07-09,-1.6649065232919658
2015-07-10,-1.207244470038791
2015-07-13,-1.273269002993789
2015-07-14,-0.732080932228571
2015-07-15,-1.23645506604883
2015-07-16,-1.3540660466134546
2015-07-17,-1.4016708340127013
2015-07-20,-1.698371595670744
2015-07-21,-1.7002097062419463
2015-07-22,-1.3440098846458295
2015-07-23,-1.09928997115219
2015-07-24,-1.5318886054212295
2015-07-27,-1.4262512708909518
2015-07-28,-1.5238396206742182
2015-07-29,-1.391168506336007
2015-07-30,-1.8601003953011577
2015-07-31,-1.0626596083439828
2015-08-03,-1.875992693838746
2015-08-04,-1.2727282154969424
2015-08-05,-1.4658238921107944
2015-08-06,-0.8065024088289645
2015-08-07,-1.2662953187176431
2015-08-10,-1.5861926673823428
2015-08-11,-1.3880814700025947
2015-08-12,-1.2169125191042454
2015-08-13,-1.7804529473436514
2015-08-14,-1.5545868378612866
2015-08-17,-2.0226287447804596
2015-08-18,-1.3166440708068423
2015-08-19,-1.851520533870514
2015-08-20,-1.6232013389682838
2015-08-21,-1.5917760671571803
2015-08-24,-0.9513319055530731
2015-08-25,-1.1544738248913544
2015-08-26,-1.090850809947494
2015-08-27,-1.3675221626257374
2015-08-28,-1.2639723230038618
2015-08-31,-1.8413583064256156
2015-09-01,-1.1865299731031556
2015-09-02,-1.5938392889656288
2015-09-03,-1.6039097559258422
2015-09-04,-1.9793031866432338
2015-09-07,-1.7395962455615877
2015-09-08,-1.5598493691011943
2015-09-09,-1.7880874141662297
2015-09-10,-1.1738096568661767
2015-09-11,-1.9346570377867942
2015-09-14,-2.0722970937607887
2015-09-15,-1.859589611681439
2015-09-16,-1.2904033160669375
2015-09-17,-1.059356979452194
2015-09-18,-1.110862047033793
2015-09-21,-1.7023455193302577
2015-09-22,-1.5093541829187
2015-09-23,-1.3229564105631118
2015-09-24,-1.6076458755682959
2015-09-25,-1.2024370389979708
2015-09-28,-1.395138252041527
2015-09-29,-1.5467895448409021
2015-09-30,-1.4493302262978152
2015-10-01,-1.868751404919958
2015-10-02,-1.0757281118085409
2015-10-05,-1.7844400368820332
2015-10-06,-2.348201262028056
2015-10-07,-1.843566850253698
2015-10-08,-1.506457987728312
2015-10-09,-1.6692941161217811
2015-10-12,-2.3172396836463967
2015-10-13,-1.0337699155690994
2015-10-14,-1.2742266676062104
2015-10-15,-1.1256885622970105
2015-10-16,-1.8293049895999551
2015-10-19,-2.364955560451129
2015-10-20,-2.2238093294844314
2015-10-21,-2.309516704453293
2015-10-22,-1.232526791060693
2015-10-23,-1.8732376614420259
2015-10-26,-2.00147882240869
2015-10-27,-2.0463715907921696
2015-10-28,-1.467022405842597
2015-10-29,-1.8424495766523201
2015-10-30,-1.545071783183676
2015-11-02,-1.6526821788451025
2015-11-03,-2.0756475507888883
2015-11-04,-1.8866462019716872
2015-11-05,-1.0914979286230435
2015-11-06,-1.0596409608661688
2015-11-09,-1.8978033703280872
2015-11-10,-2.2188355985300063
2015-11-11,-1.3295317379655063
2015-11-12,-1.4660277970530875
2015-11-13,-1.5833517077562869
2015-11-16,-2.4256888892455204
2015-11-17,-2.1661337519792
2015-11-18,-1.812924899676462
2015-11-19,-1.6445098769750213
2015-11-20,-1.9752976487834613
2015-11-23,-1.8371675128436313
2015-11-24,-1.8849887484779548
2015-11-25,-1.5954954300531905
2015-11-26,-2.389708641772833
2015-11-27,-2.002770992519516
2015-11-30,-1.891300719678019
2015-12-01,-1.777573206228036
2015-12-02,-1.622924213703898
2015-12-03,-0.6091247849018306
2015-12-04,-1.1911816911145006
2015-12-07,-1.7961359876665652
2015-12-08,-1.6739338106215917
2015-12-09,-1.5374013735287382
2015-12-10,-1.4479877082142278
2015-12-11,-1.6280420291657938
2015-12-14,-1.428652888652933
2015-12-15,-1.144699978142234
2015-12-16,-0.6408746562189508
2015-12-17,-1.1624430714750495
2015-12-18,-1.339001771652439
2015-12-21,-1.707238270549827
2015-12-22,-1.9787065664134038
2015-12-23,-1.7209040302391516
2015-12-24,-1.735216644068719
2015-12-28,-2.227143114243982
2015-12-29,-2.046722260742842
2015-12-30,-1.7462207608335358
2015-12-31,-1.3567034681877832
2016-01-04,-1.1880972155709117
2016-01-05,-1.8022403914428735
2016-01-06,-1.5432816673528982
2016-01-07,-1.0713412380329377
2016-01-08,-1.1375559607859922
2016-01-11,-1.2408340380075302
2016-01-12,-1.1671679392602556
2016-01-13,-1.3237599704460328
2016-01-14,-1.3613119738234394
2016-01-15,-1.2172750194536177
2016-01-18,-1.6882796717501443
2016-01-19,-1.0960970405393213
2016-01-20,-0.9241031178438902
2016-01-21,-0.9400658394265381
2016-01-22,-1.1212869660082807
2016-01-25,-1.288701749150925
2016-01-26,-0.9984754454975565
2016-01-27,-0.7649492160559581
2016-01-28,-0.7033151053475561
2016-01-29,-0.5480510680367269
2016-02-01,-0.7525266178614921
2016-02-02,-0.9621563666118637
2016-02-03,-0.6687291668605173
2016-02-04,-0.44199083802815553
2016-02-05,-0.8691453354415181
2016-02-08,-0.7622411231967653
2016-02-09,-0.7079427376370221
2016-02-10,-0.6720110519644135
2016-02-11,-0.3930421582422888
2016-02-12,-0.8400633074338248
2016-02-15,-1.0982453425246406
2016-02-16,-0.7951442947245659
2016-02-17,-0.6929258282476485
2016-02-18,-0.9171750678692078
2016-02-19,-0.7629303152738557
2016-02-22,-0.5210209485787631
2016-02-23,-0.8168037010270928
2016-02-24,-0.6770451261669826
2016-02-25,-0.8856966079588895
2016-02-26,-0.707502812193842
2016-02-29,-0.957888850180794
2016-03-01,-0.6634941399579007
2016-03-02,-1.1083883002913724
2016-03-03,-1.019064413242152
2016-03-04,-0.7631971841125706
2016-03-07,-1.2012303613231465
2016-03-08,-1.132831274769333
2016-03-09,-1.3232381821257073
2016-03-10,-0.0887654791251903
2016-03-11,-1.0768146388394046
2016-03-14,-1.4849584479727158
2016-03-15,-1.0754792213076252
2016-03-16,-0.19310965099649413
2016-03-17,-0.07805255247970219
2016-03-18,-1.3659510720083943
2016-03-21,-1.3929945600102878
2016-03-22,-0.579072370890412
2016-03-23,-1.1685190627833966
2016-03-24,-1.4355223960675427
2016-03-25,-1.6592248484081609
2016-03-28,-1.3716536471011285
2016-03-29,-0.4118771344856452
2016-03-30,-1.1276774379823538
2016-03-31,-0.7452295355017264
2016-04-01,-0.4653352283122707
2016-04-04,-1.100311767891415
2016-04-05,-1.2723099726320684
2016-04-06,-0.704342378143796
2016-04-07,-0.9043691334151622
2016-04-08,-0.9684427591514635
2016-04-11,-0.8517654784371046
2016-04-12,-0.710697599960244
2016-04-13,-0.9140215830036148
2016-04-14,-0.8741255889556347
2016-04-15,-1.1844533846797338
2016-04-18,-1.1602681565924298
2016-04-19,-1.1715091182520294
2016-04-20,-1.3462557420465038
2016-04-21,-1.0989915438529747
2016-04-22,-1.0643135254703877
